epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
91,2087.86,0.58568,0.29445,0.92149,0.87112,0.89928,0.85095,0.70754,1.14841,0.5157,1.20471,0.000155761,0.000155761,0.000155761
92,2106.36,0.57196,0.28843,0.92175,0.89377,0.90408,0.86204,0.71373,1.13194,0.5207,1.18337,0.000141614,0.000141614,0.000141614
93,2124.94,0.55987,0.28062,0.9027,0.89397,0.90887,0.86147,0.71379,1.13512,0.51239,1.18951,0.000127467,0.000127467,0.000127467
94,2143.64,0.55489,0.27636,0.90644,0.90649,0.90064,0.87603,0.71792,1.12913,0.52093,1.19153,0.00011332,0.00011332,0.00011332
95,2162.34,0.53778,0.27124,0.89651,0.88777,0.90408,0.87154,0.71448,1.14988,0.5221,1.21543,9.91726e-05,9.91726e-05,9.91726e-05
96,2181.18,0.534,0.26915,0.89477,0.90032,0.89688,0.86561,0.71601,1.12714,0.50293,1.19944,8.50255e-05,8.50255e-05,8.50255e-05
97,2200.01,0.52095,0.26684,0.88795,0.9003,0.88969,0.86402,0.71408,1.1314,0.49775,1.20816,7.08784e-05,7.08784e-05,7.08784e-05
98,2218.87,0.52,0.26478,0.88251,0.89579,0.88729,0.86009,0.71092,1.13889,0.49475,1.20574,5.67313e-05,5.67313e-05,5.67313e-05
99,2237.67,0.51268,0.2644,0.8845,0.89366,0.88681,0.86481,0.71586,1.12525,0.49511,1.19954,4.25842e-05,4.25842e-05,4.25842e-05
100,2256.6,0.50036,0.26054,0.89144,0.89489,0.88436,0.86289,0.71689,1.11819,0.48859,1.19945,2.84371e-05,2.84371e-05,2.84371e-05
